mean,std,rms,peak_to_peak,iqr,skewness,kurtosis,source,label
-0.04353869151053493,0.6785482418140716,0.6782486236956714,3.305059385732819,0.8974481685650197,-0.5015572731480888,0.09402395435855704,1_Goede_weg_PetrusDondersstraat_Mathijs_08_22_1509-2026-09-15_06-22-43,1
0.01260648141201326,0.6499881367368274,0.6484836762654176,3.647949831513475,0.7862425247821503,-0.6266722066804736,0.8463728823661554,1_Goede_weg_PetrusDondersstraat_Mathijs_08_22_1509-2026-09-15_06-22-43,1
0.06276304938890698,0.5606250425588523,0.5627327398694594,2.8830559008772916,0.8007290639042558,-0.06154261198964203,-0.34549131847170234,1_Goede_weg_PetrusDondersstraat_Mathijs_08_22_1509-2026-09-15_06-22-43,1
-0.015575581960947063,0.7240379202126015,0.7223934898029485,4.2795421654098815,0.9953706010238713,-0.10985172360423842,0.12861527868136768,1_Goede_weg_PetrusDondersstraat_Mathijs_08_22_1509-2026-09-15_06-22-43,1
-0.058364298958932165,1.862608956997548,1.8588630819527896,12.098566022608459,1.627925550092647,-0.4772616196207977,1.7654313642261021,1_Goede_weg_PetrusDondersstraat_Mathijs_08_22_1509-2026-09-15_06-22-43,1
-0.004392138817519182,2.1089845739942654,2.1037100904265387,12.098566022608459,2.8197712669364803,-0.29097331555096756,0.25595423244831705,1_Goede_weg_PetrusDondersstraat_Mathijs_08_22_1509-2026-09-15_06-22-43,1
0.0632749207824986,1.5887883924332864,1.5860740930836503,7.329601509356143,2.582178475216704,0.24569130992067303,-0.753061101750792,1_Goede_weg_PetrusDondersstraat_Mathijs_08_22_1509-2026-09-15_06-22-43,1
0.006699876747353816,1.3821938050760558,1.3787502691078986,6.930359134221034,2.041695679002773,0.2129112094946775,-0.34156974458659883,1_Goede_weg_PetrusDondersstraat_Mathijs_08_22_1509-2026-09-15_06-22-43,1
-0.025513764920084087,1.1595642255225957,1.156943040666504,5.11975845927061,1.5674144253794087,0.064232104874962,-0.47487882355766153,1_Goede_weg_PetrusDondersstraat_Mathijs_08_22_1509-2026-09-15_06-22-43,1
0.0026587135250714855,1.3017441967918408,1.298488480068051,7.091247420127195,1.5949540479726028,-0.3060496147646229,0.28532487528119077,1_Goede_weg_PetrusDondersstraat_Mathijs_08_22_1509-2026-09-15_06-22-43,1
0.031380669208068035,2.298918821462518,2.293379025659777,15.253386756783044,2.516347402294633,-0.7165180698340079,2.5889016555443236,1_Goede_weg_PetrusDondersstraat_Mathijs_08_22_1509-2026-09-15_06-22-43,1
-0.024891121208998543,2.1562814658629157,2.1510280284410164,15.253386756783044,1.9476449971811531,-0.7356789565264162,3.8535052009349036,1_Goede_weg_PetrusDondersstraat_Mathijs_08_22_1509-2026-09-15_06-22-43,1
